t,semimajor,eccentricity,argumentPeriapsis,inclination,ascendingNode
58777.3153935185,6800002.98878244,0.000966783028064343,2.04798384044891,8.20607841696156e-05,3.09891644196793
58777.3159722222,6800002.02205588,0.000890620502188771,2.07557693632541,8.23565255562336e-05,3.09949701169642
58777.3165509259,6800001.12696951,0.000813766177207127,2.10297852547614,8.26458493119387e-05,3.10026518958434
58777.3171296296,6800000.30627182,0.000736280094722896,2.13020068470513,8.29270521448828e-05,3.10120925300305
58777.3177083333,6799999.56247429,0.000658222693867701,2.15725746834616,8.31985395334964e-05,3.10231553040916
58777.318287037,6799998.89784432,0.00057965477138259,2.18416472015514,8.34588436242637e-05,3.10356860028207
58777.3188657407,6799998.31439905,0.000500637442078652,2.2109398875614,8.37066394042548e-05,3.10495149909118
58777.3194444444,6799997.81389983,0.000421232099640674,2.23760185603656,8.39407590592721e-05,3.10644593570514
58777.3200231481,6799997.39784761,0.000341500377742307,2.26417084949855,8.41602044485181e-05,3.10803251011179
58777.3206018519,6799997.06747899,0.000261504111430914,2.29066854970658,8.43641576430242e-05,3.10969093474662
58777.3211805556,6799996.82376316,0.000181305298743009,2.31711912381265,8.45519894880088e-05,3.11140025711196
58777.3217592593,6799996.66739952,0.000100966062521524,2.34355623186725,8.47232661593119e-05,3.11313908269487
58777.322337963,6799996.59881624,2.05486129000266e-05,2.37019988250318,8.48777536916283e-05,3.11488579744858
58777.3229166667,6799996.61816944,5.98847945857444e-05,5.53779891649459,8.50154204620417e-05,3.11661878928415
58777.3234953704,6799996.72534324,0.000140271887409073,5.56430917442375,8.51364376170147e-05,3.11831666812091
58777.3240740741,6799996.91995058,0.000220550425309646,5.59083259308222,8.52411774351995e-05,3.11995848406686
58777.3246527778,6799997.20133478,0.000300658231493041,5.61742477766515,8.53302096228907e-05,3.12152394324252
58777.3252314815,6799997.56857185,0.000380533232550591,5.64411100970142,8.54042955443391e-05,3.12299362062896
58777.3258101852,6799998.02047359,0.000460113496648398,5.67091167096118,8.54643803961397e-05,3.12434916911763
58777.3263888889,6799998.55559131,0.000539337271986421,5.69784486794995,8.55115833441278e-05,3.12557352367424
58777.3269675926,6799999.17222047,0.000618143025504881,5.7249268703505,8.55471856532068e-05,3.1266510992131
58777.3275462963,6799999.86840579,0.000696469481869508,5.75217212017653,8.55726168557856e-05,3.12756798042409
58777.328125,6800000.64194725,0.000774255662775703,5.77959312793437,8.5589439023341e-05,3.12831210142022
58777.3287037037,6800001.49040666,0.000851440926598818,5.80720033857184,8.55993292282745e-05,3.12887341269826
58777.3292824074,6800002.41111491,0.00092796500842173,5.83500199566453,8.56040603096912e-05,3.12924403255228
58777.3298611111,6800003.40117991,0.00100376806046293,5.86300401652676,8.56054800868015e-05,3.12941837977463
58777.3304398148,6800004.45749507,0.00107879069292214,5.89120988563475,8.56054891968572e-05,3.12939328424963
58777.3310185185,6800005.57674851,0.00115297401525994,5.91962057169698,8.56060177701425e-05,3.12916807191926
58777.3315972222,6800006.7554327,0.0012262596779157,5.94823447279574,8.56090011915161e-05,3.12874462060507
58777.3321759259,6800007.98985485,0.00129858991446979,5.97704739341616,8.5616355235001e-05,3.12812738333051
58777.3327546296,6800009.27614764,0.00136990758424253,6.00605255665183,8.56299508933793e-05,3.12732337612128
58777.3333333333,6800010.61028067,0.00144015621532326,6.03524065423458,8.56515892568531e-05,3.12634212778032
58777.333912037,6800011.98807226,0.00150928004800884,6.06459993628155,8.56829768216766e-05,3.1251955898383
58777.3344907407,6800013.40520178,0.00157722407863305,6.0941163417292,8.57257016292922e-05,3.12389800576084
58777.3350694444,6800014.85722243,0.00164393410375386,6.12377366938251,8.57812106470849e-05,3.12246573952507
58777.3356481481,6800016.3395744,0.00170935676466149,6.15355378834085,8.58507888018248e-05,3.12091706482484
58777.3362268519,6800017.84759842,0.00177343959216794,6.18343688534497,8.59355400649827e-05,3.11927191737597
58777.3368055556,6800019.37654972,0.00183613105162632,6.21340174536685,8.60363709647281e-05,3.11755161401287
58777.3373842593,6800020.92161222,0.00189738058812056,6.243426060597,8.61539768624878e-05,3.11577854343018
58777.337962963,6800022.47791306,0.0019571386717688,6.27348676193946,8.62888312830986e-05,3.11397583446256
58777.3385416667,6800024.04053738,0.00201535684306641,0.0203750590959846,8.64411785281658e-05,3.11216700864964
58777.3391203704,6800025.60454328,0.00207198775819824,0.0504380249548013,8.661102973421e-05,3.11037562444881
58777.3396990741,6800027.16497697,0.00212698523423298,0.0804671088942285,8.67981624630804e-05,3.10862492079588
58777.3402777778,6800028.71688808,0.00218030429412171,0.110439714855073,8.7002123834821e-05,3.10693746775197
58777.3408564815,6800030.255345,0.00223190121140188,0.140334229018831,8.72222371358086e-05,3.10533483171025
58777.3414351852,6800031.77545027,0.00228173355451398,0.170130333242688,8.74576117606014e-05,3.10383726208626
58777.3420138889,6800033.27235607,0.0023297602306343,0.199809290949641,8.77071562774107e-05,3.10246340561614
58777.3425925926,6800034.74127949,0.00237594152891019,0.229354200352682,8.79695943468701e-05,3.10123005338664
58777.3431712963,6800036.17751789,0.00242023916300106,0.258750211024379,8.82434831737337e-05,3.10015192458098
58777.34375,6800037.57646396,0.00246261631280859,0.287984701045912,8.85272341325266e-05,3.09924148971041
58777.3443287037,6800038.93362066,0.00250303766528259,0.317047413188208,8.88191351815874e-05,3.09850883487702
58777.3449074074,6800040.24461597,0.00254146945419797,0.345930549749645,8.91173746652914e-05,3.09796156744109
58777.3454861111,6800041.50521719,0.00257787949877653,0.37462882674969,8.94200661008714e-05,3.09760476239549
58777.3460648148,6800042.71134506,0.00261223724104584,0.403139489100872,8.97252735530074e-05,3.0974409478217
58777.3466435185,6800043.85908733,0.00264451378181885,0.431462289143044,9.00310372147455e-05,3.09747012704273
58777.3472222222,6800044.94471202,0.00267468191518368,0.459599431498578,9.03353988356174e-05,3.09768983451218
58777.3478009259,6800045.96468009,0.00270271616138417,0.48755548760077,9.06364266652741e-05,3.09809522208662
58777.3483796296,6800046.91565754,0.00272859279799379,0.515337283461109,9.09322396117572e-05,3.09867917211169
58777.3489583333,6800047.79452697,0.00275228988926928,0.542953764302633,9.12210303460878e-05,3.09943243369395
58777.349537037,6800048.59839847,0.00277378731358422,0.570415839608229,9.15010871177252e-05,3.10034377860643
58777.3501157407,6800049.32461979,0.00279306678884795,0.597736211948786,9.17708140774551e-05,3.10140017346025
58777.3506944444,6800049.97078576,0.00281011189581774,0.624929192691656,9.20287499345019e-05,3.10258696503908
58777.3512731481,6800050.53474695,0.00282490809921768,0.652010507372387,9.227358480248e-05,3.10388807601002
58777.3518518519,6800051.01461752,0.00283744276658718,0.678997093170256,9.25041751138166e-05,3.10528620856768
58777.3524305556,6800051.40878211,0.00284770518478559,0.705906890579774,9.27195565043517e-05,3.10676305391488
58777.3530092593,6800051.71590195,0.00285568657409494,0.732758631042074,9.29189545889901e-05,3.108299505813
58777.353587963,6800051.93491997,0.00286138009985859,0.759571622002957,9.31017935657813e-05,3.10987587673109
58777.3541666667,6800052.06506493,0.00286478088161431,0.786365530614376,9.32677025999828e-05,3.11147211537299
58777.3547453704,6800052.10585465,0.00286588599968038,0.813160167103356,9.34165199519901e-05,3.11306802455469
58777.3553240741,6800052.05709814,0.00286469449917336,0.839975268699497,9.35482948240341e-05,3.1146434785353
58777.3559027778,6800051.91889676,0.00286120739143242,0.86683028495144,9.36632869108401e-05,3.11617863896855
58777.3564814815,6800051.69164437,0.00285542765284462,0.893744165263278,9.37619636496331e-05,3.11765416863862
58777.3570601852,6800051.37602642,0.00284736022107714,0.92073514955156,9.38449951755805e-05,3.11905144207433
58777.3576388889,6800050.97301794,0.00283701198871553,0.947820563057347,9.39132470005919e-05,3.12035275200465
58777.3582175926,6800050.48388065,0.00282439179435065,0.975016616530227,9.39677704469123e-05,3.12154151043224
58777.3587962963,6800049.91015885,0.00280951041111931,1.00233821323577,9.40097908826463e-05,3.1226024428695
