Astana_argumentLatitude,Astana_focalParameter,Astana_semimajor,Astana_eccentricity,Astana_argumentPeriapsis,Astana_inclination,Astana_ascendingNode,Astana_analytical_inclination,Astana_analytical_ascendingNode,Astana_analytical_argumentPeriapsis,Astana_analytical_eccentricity,Astana_analytical_focalParameter,Astana_analytical_semimajor,Astana_analytical_semimajor_easy
3.11137238871625,5112327.5300396,6829170.86968131,0.501396553556667,0.527738245487599,0.891094312349094,1.04355692261699,0.891098007750499,1.04354961674629,0.527574872574026,0.501404825606856,5112345.15595615,6829197.2934437,6829270.08967695
3.11706096167604,5112330.19277687,6829149.63059972,0.501393843015187,0.52773066427311,0.891094523513417,1.04355691515413,0.891098229718784,1.04354960889671,0.527567197659533,0.501402106429314,5112347.95185778,6829176.36743616,6829248.94847064
3.12271998590209,5112332.26229108,6829128.46948456,0.501391227590695,0.527723033270618,0.891094687634073,1.04355691054614,0.891098404352559,1.0435496039913,0.527559479416856,0.501399482896052,5112350.15153625,6829155.5136392,6829227.88607541
3.12834996032702,5112333.75046018,6829107.39016117,0.501388705969334,0.527715356891247,0.891094805652489,1.04355690808214,0.891098532596127,1.04354960131391,0.527551722064625,0.501396953687875,5112351.76688595,6829134.73595134,6829206.90628928
3.13395137484958,5112334.66886253,6829086.39616488,0.501386276849193,0.527707639387905,0.891094878486327,1.04355690707762,0.891098615369996,1.0435496001749,0.52754392966728,0.501394517497668,5112352.80950156,6829114.03798093,6829186.01262128
3.13952471056333,5112335.02878493,6829065.49075628,0.501383938940806,0.52769988486112,0.891094907030123,1.04355690687336,0.89109865357151,1.04354959991001,0.527536106140838,0.50139217303089,5112353.29068595,6829093.42306134,6829165.20830662
3.1450704399788,5112334.84123026,6829044.67693554,0.501381690967613,0.527692097264669,0.891094892155888,1.04355690683429,0.891098648075458,1.04354959987927,0.527528255258441,0.50138991900603,5112353.22145795,6829072.89426527,6829144.49632101
3.15058902723934,5112334.11692501,6829023.95745614,0.50137953166635,0.527684280410996,0.891094834713712,1.04355690634854,0.891098599734671,1.04354959946606,0.527520380655705,0.501387754154998,5112352.61255976,6829052.45441833,6829123.87939439
3.15608092833085,5112332.86632656,6829003.33483784,0.501377459787414,0.527676437976426,0.891094735532342,1.04355690482646,0.891098509380603,1.04354959807602,0.52751248583586,0.501385677223481,5112351.47446435,6829032.10611203,6829103.36002378
3.16154659128558,5112331.09963031,6828982.81137897,0.501375474095166,0.527668573506202,0.891094595419742,1.04355690169965,0.891098377823893,1.04354959513622,0.527504574174712,0.501383686971249,5112349.81738248,6829011.85171596,6829082.94048562
3.16698645638031,5112328.8267765,6828962.38916807,0.501373573368211,0.527660690419324,0.891094415163642,1.04355689642009,0.891098205854911,1.04354959009418,0.527496648925407,0.501381782172424,5112347.65126961,6828991.69338945,6829062.62284739
3.17240095632889,5112326.05745702,6828942.07009507,0.501371756399625,0.527652792013212,0.891094195532072,1.0435568884593,0.891097994244293,1.04354958241707,0.527488713223032,0.501379961615709,5112344.98583264,6828971.63309261,6829042.40897864
3.17779051646952,5112322.80112187,6828921.85586168,0.501370021997153,0.527644881468205,0.89109393727388,1.04355687730748,0.891097743743459,1.04354957159085,0.527480770089034,0.501378224104584,5112341.8305364,6828951.67259677,6829022.30056151
3.18315555494685,5112319.06698547,6828901.74799145,0.501368368983383,0.527636961851887,0.891093641119232,1.04355686247276,0.891097455085113,1.04354955711952,0.527472822435482,0.501376568457471,5112338.19461003,6828931.81349444,6829002.29910065
3.18849648288901,5112314.86403294,6828881.7478392,0.501366796195875,0.527629036123263,0.891093307780105,1.04355684348043,0.891097128983738,1.04354953852429,0.52746487306917,0.501374993507866,5112334.08705308,6828912.05720876,6828982.40593268
3.19381370457995,5112310.20102594,6828861.85659998,0.501365302487276,0.527621107136773,0.89109293795076,1.04355681987223,0.891096766136065,1.04354951534296,0.527456924695564,0.501373498104442,5112329.51664157,6828892.40500238,6828962.62223509
