t,x,y,z
58757.9,6798458.23450901,0.000586485172759011,144691.200623617
58758,6798441.87700455,0.000588527528644251,145456.645489675
58758.1,6798425.43319358,0.0005907070145801,146222.088503906
58758.2,6798408.90307726,0.000592908270299126,146987.529655719
58758.3,6798392.28665522,0.0005951668258207,147752.968935331
58758.4,6798375.58392835,0.000597295978534301,148518.406332909
58758.5,6798358.79489594,0.000598847837189552,149283.841838794
58758.6,6798341.91955757,0.000599727738216906,150049.275442934
58758.7,6798324.95791153,0.000601092216838693,150814.707135854
58758.8,6798307.90996175,0.000604273852257173,151580.136908021
58758.9,6798290.7757109,0.000606607980853095,152345.564749893
58759,6798273.55515678,0.000608191274580752,153110.990652251
58759.1,6798256.24829831,0.000609988572619875,153876.414605313
58759.2,6798238.85513664,0.000611778981200901,154641.836598468
58759.3,6798221.37567145,0.000613623284180737,155407.256621967
58759.4,6798203.8099036,0.00061530425263969,156172.67466597
58759.5,6798186.15783239,0.000616403566289779,156938.090720837
58759.6,6798168.41945738,0.000616807647719896,157703.50477649
58759.7,6798150.59477693,0.000617788525369611,158468.916823455
58759.8,6798132.68379511,0.000620549094473332,159234.326852187
58759.9,6798114.68651437,0.000622383931576688,159999.734853187
58760,6798096.60293261,0.000623459635053886,160765.140817236
58760.1,6798078.43304879,0.000624824707593769,161530.544734519
58760.2,6798060.176864,0.000626158108947477,162295.946594407
58760.3,6798041.83437801,0.000627534934433103,163061.346387179
58760.4,6798023.40559165,0.000628717442019968,163826.744102997
58760.5,6798004.89050421,0.000629321871386812,164592.139732237
58760.6,6797986.28911524,0.000629219509703457,165357.533264805
58760.7,6797967.60142317,0.000629790143767288,166122.924691219
58760.8,6797948.82743223,0.000632093740358557,166888.314001923
58760.9,6797929.96714462,0.000633409448873534,167653.701187452
58761,6797911.02055833,0.000633945564947968,168419.086238585
58761.1,6797891.9876724,0.000634838982565665,169184.46914548
58761.2,6797872.86848787,0.000635680910880089,169949.849897495
58761.3,6797853.66300454,0.000636551015240142,170715.228484937
58761.4,6797834.37122322,0.000637198640565151,171480.604897967
58761.5,6797814.99314322,0.000637279570044137,172245.979126982
58761.6,6797795.52876407,0.000636655084114369,173011.351161871
58761.7,6797775.9780843,0.000636798188013522,173776.720993147
58761.8,6797756.34110825,0.000638618320176785,174542.088611244
58761.9,6797736.61783789,0.000639406646870912,175307.454006722
58762,6797716.8082713,0.000639386492089673,176072.817170351
58762.1,6797696.91240761,0.000639780186841314,176838.178092274
58762.2,6797676.93024778,0.000640110070736134,177603.536761836
58762.3,6797656.86179165,0.000640456380283783,178368.893169371
58762.4,6797636.70704003,0.000640555010683565,179134.247305039
58762.5,6797616.46599225,0.000640103102727465,179899.599159254
58762.6,6797596.1386478,0.000638956872555178,180664.948721897
58762.7,6797575.72500536,0.000638666217096449,181430.295983477
58762.8,6797555.22506934,0.000639991763664741,182195.640934422
58762.9,6797534.63884146,0.000640264933808242,182960.983565299
58763,6797513.96631988,0.000639700242887626,183726.323866873
58763.1,6797493.20750387,0.000639593386049105,184491.661829279
58763.2,6797472.3623943,0.000639417539736812,185256.997441852
58763.3,6797451.43099102,0.00063925648852703,186022.330694948
58763.4,6797430.41329486,0.000638826073692814,186787.661578726
58763.5,6797409.30930519,0.000637861241731774,187552.990083612
