t,x,y,z,r
58777.041087963,-4435848.95903441,-68.3025193283992,-5144235.5953476,6792636.88507439
58777.0416666667,-4138960.04726538,-72.3533407288361,-5385951.45527906,6792603.57717987
58777.0422453704,-3828954.87672427,-76.2817089754733,-5610550.44578879,6792582.11275729
58777.0428240741,-3506820.37642733,-80.0677606448113,-5817325.44285842,6792574.21505755
58777.0434027778,-3173581.02819748,-83.6916935762273,-6005626.25962808,6792581.49158872
58777.0439814815,-2830295.57512921,-87.1338514719759,-6174861.5523387,6792605.4088795
58777.0445601852,-2478053.64770004,-90.3748094171868,-6324500.53603645,6792647.26887628
58777.0451388889,-2117972.31832973,-93.3954600209616,-6454074.5090044,6792708.18729276
58777.0457175926,-1751192.5946804,-96.1770998749587,-6563178.18543252,6792789.07420588
58777.0462962963,-1378875.8614727,-98.7015160206971,-6651470.83626322,6792890.61716397
58777.046875,-1002200.28008605,-100.951072111158,-6718677.23845919,6793013.26704028
58777.0474537037,-622357.154736524,-102.908793946149,-6764588.4331418,6793157.22683038
58777.0480324074,-240547.273601661,-104.558454054368,-6789062.29315329,6793322.44355334
58777.0486111111,142022.767095934,-105.884654988294,-6792023.90061831,6793508.60337686
58777.0491898148,524144.248311597,-106.872910991159,-6773465.7350383,6793715.13004467
58777.0497685185,904610.015161445,-107.50972768847,-6733447.67236313,6793941.18664132
58777.0503472222,1282218.15821002,-107.782679450291,-6672096.79537015,6794185.68068677
58777.0509259259,1655775.68160121,-107.680484064838,-6589607.01556131,6794447.27250951
58777.0515046296,2024102.15046768,-107.193074359548,-6486238.50668635,6794724.38680474
58777.0520833333,2386033.30985942,-106.311666402674,-6362316.94993304,6795015.22724314
58777.052662037,2740424.66715441,-105.028823917337,-6218232.59081545,6795317.79395628
58777.0532407407,3086155.02956707,-103.338518540912,-6054439.1078529,6795629.90368808
58777.0538194444,3422129.98796709,-101.236185566186,-5871452.29328217,6795949.21236768
58777.0543981481,3747285.33778027,-98.7187748071034,-5669848.54629474,6796273.2398285
58777.0549768519,4060590.42728488,-95.7847962414269,-5450263.17964747,6796599.3963712
58777.0555555556,4361051.42316004,-92.4343600954754,-5213388.54096507,6796925.01084543
58777.0561342593,4647714.48271075,-88.6692110524487,-4959971.95063599,6797247.3599066
58777.056712963,4919668.82180708,-84.4927562857595,-4690813.45889845,6797563.69808938
58777.0572916667,5176049.66725443,-79.9100870422915,-4406763.42551313,6797871.28833067
58777.0578703704,5416041.0820763,-74.9279935275132,-4108719.92631415,6798167.43256912
58777.0584490741,5638878.6520598,-69.5549728747664,-3797625.9919072,6798449.50204844
58777.0590277778,5843852.02190065,-63.8012300145458,-3474466.6848267,6798714.96695615
58777.0596064815,6030307.26940291,-57.6786712959299,-3140266.02255486,6798961.42503786
58777.0601851852,6197649.10644692,-51.2008907511287,-2796083.75492289,6799186.6288408
58777.0607638889,6345342.89584466,-44.3831489348965,-2443012.00553815,6799388.51125744
58777.0613425926,6472916.47375463,-37.2423443128956,-2082171.787986,6799565.20906123
58777.0619212963,6579961.7680299,-29.7969772164243,-1714709.40862101,6799715.08415142
58777.0625,6666136.20371534,-22.0671064246384,-1341792.76876399,6799836.74225188
58777.0630787037,6731163.88788643,-14.0742984789968,-964607.580040275,6799929.04883982
58777.0636574074,6774836.56711905,-5.84156987752133,-584353.507408363,6799991.14211394
58777.0642361111,6797014.3520832,2.60667766201635,-202240.255120764,6800022.44284701
58777.0648148148,6797626.20504489,11.2447286411482,180516.388585944,6800022.66100544
58777.0653935185,6776670.18742043,20.0456316558281,562698.531868739,6799991.79905696
58777.0659722222,6734213.4659331,28.9812834069015,943090.168272631,6799930.15192709
58777.0665509259,6670392.07735251,38.0225185138659,1320481.15780724,6799838.30360522
58777.0671296296,6585410.4532261,47.1392047720015,1693671.18365234,6799717.12044082
58777.0677083333,6479540.70741927,56.3003434688578,2061473.66828481,6799567.74121009
58777.068287037,6353121.6906399,65.4741743558624,2422719.63322302,6799391.56407177
58777.0688657407,6206557.81741557,74.6282848545258,2776261.48713793,6799190.23056842
58777.0694444444,6040317.67219531,83.7297230643633,3120976.72777017,6798965.60686467
58777.0700231481,5854932.40234545,92.7451141310419,3455771.54390444,6798719.76244763
58777.0706018519,5650993.90678656,101.640779528208,3779584.30456843,6798454.94654555
58777.0711805556,5429152.82986156,110.382858804705,4091388.92362404,6798173.56254837
58777.0717592593,5190116.37072756,118.937433349987,4390198.08898141,6797878.14073894
58777.072337963,4934645.91911863,127.270651734141,4675066.34676985,6797571.30966436
58777.0729166667,4663554.52873324,135.348856184514,4945093.03192085,6797255.76649428
58777.0734953704,4377704.23976029,143.138709768015,5199425.03773368,6796934.24672593
58777.0740740741,4078003.26217764,150.607323856185,5437259.41808344,6796609.49360423
58777.0746527778,3765403.03144577,157.722385458607,5657845.81697238,6796284.22762977
58777.0752314815,3440895.14808946,164.452284018634,5860488.72110111,6795961.11652675
58777.0758101852,3105508.21242767,170.766237273239,6044549.53202967,6795642.74603786
58777.0763888889,2760304.56539299,176.634415785707,6209448.45529726,6795331.59190356
58777.0769675926,2406376.94599777,182.02806576542,6354666.20456294,6795029.99336855
