t,x,y,z,r
58777.0520833333,2388586.7160729,-106.299020332675,-6360205.43663363,6793935.50953226
58777.052662037,2742940.20558967,-105.012436148173,-6215934.10680539,6794229.7431434
58777.0532407407,3088620.34632957,-103.318151724122,-6051951.53666089,6794534.05735285
58777.0538194444,3424532.32588045,-101.211609318682,-5868774.30855994,6794846.10171983
58777.0543981481,3749611.58623073,-98.689767680679,-5666979.65478995,6795163.38767057
58777.0549768519,4062827.17611061,-95.7511477353788,-5447203.7609776,6795483.31509391
58777.0555555556,4363185.02036193,-92.3958726987547,-5210139.8838257,6795803.20046711
58777.0561342593,4649731.09577646,-88.6257023004092,-4956536.28504978,6796120.30616734
58777.056712963,4921554.50232638,-84.4440608165937,-4687193.98418068,6796431.87060971
58777.0572916667,5177790.41854092,-79.8560586369551,-4402964.33359591,6796735.13884636
58777.0578703704,5417622.92941287,-74.8685071172127,-4104746.42014396,6797027.39324994
58777.0584490741,5640287.71518745,-69.4899264995567,-3793484.29863609,6797305.98391171
58777.0590277778,5845074.58933377,-63.7305467164192,-3470164.06354668,6797568.35838138
58777.0596064815,6031329.87410387,-57.602300930688,-3135810.76640495,6797812.09039181
58777.0601851852,6198458.60241214,-51.1188117024914,-2791485.18737402,6798034.90721832
58777.0607638889,6345926.53508976,-44.2953697161779,-2438280.47078131,6798234.71534426
58777.0613425926,6473261.98321325,-37.1489050411531,-2077318.63533288,6798409.62412499
58777.0619212963,6580057.42584521,-29.6979509457316,-1709746.97092445,6798557.96716392
58777.0625,6665970.9144156,-21.9626003258951,-1336734.33489937,6798678.32114566
58777.0630787037,6730727.25594289,-13.9644548547623,-959467.361534038,6798769.52190149
58777.0636574074,6774118.9683922,-5.72656700182277,-579146.599359933,6798830.67751463
58777.0642361111,6796007.00268274,2.72662488749917,-196982.591613732,6798861.17830914
58777.0648148148,6796321.22715497,11.3693682218091,185808.084348449,6798860.70360438
58777.0653935185,6775060.6716698,20.1746742354186,568006.802419963,6798829.22515408
58777.0659722222,6732293.52992519,29.1144021996863,948396.881415139,6798767.00722993
58777.0665509259,6668156.92000749,38.1593494405132,1325767.57047663,6798674.60334935
58777.0671296296,6582856.40462922,47.2793468004876,1698918.00973123,6798552.84968738
58777.0677083333,6476665.27391106,56.4433591605442,2066661.14997527,6798402.85525125
58777.068287037,6349923.59493045,65.6195906154594,2427827.61556288,6798225.98893639
58777.0688657407,6203037.03354946,74.7755938816232,2781269.49524224,6798023.86361967
58777.0694444444,6036475.45523377,83.8783835033333,3125864.04638141,6797798.3174801
58777.0700231481,5850771.31267479,92.8945524151475,3460517.29883541,6797551.39277275
58777.0706018519,5646517.82901342,101.790391412505,3784167.54561159,6797285.31231313
58777.0711805556,5424366.98626565,110.532011082869,4095788.70855718,6797002.45395354
58777.0717592593,5185027.32931382,119.085465747983,4394393.56825315,6796705.32336199
58777.072337963,4929261.5962935,127.416878975254,4679036.84854192,6796396.52543479
58777.0729166667,4657884.18669915,135.492570218022,4948818.14709486,6796078.73468779
58777.0734953704,4371758.47871787,143.279182154763,5202884.70465793,6795754.66499005
58777.0740740741,4071794.00743927,150.743808303936,5440434.0066492,6795427.0390055
58777.0746527778,3758943.51561006,157.854120499213,5660716.21181118,6795098.55771988
58777.0752314815,3434199.88837534,164.57849582042,5863036.40366313,6794771.87042231
58777.0758101852,3098592.98334158,170.886142580277,6046756.66129307,6794449.54551197
58777.0763888889,2753186.36683442,176.747224977189,6211297.94692911,6794134.04248756
58777.0769675926,2399073.96695568,182.132986027133,6356141.80833458,6793827.68546242
58777.0775462963,2037376.65355681,187.01586839307,6480831.89469865,6793532.63853031
58777.078125,1669238.75476255,191.369632732647,6584975.28516323,6793250.88328365
58777.0787037037,1295824.5192901,195.169473184114,6668243.62944889,6792984.19875759
58777.0792824074,918314.53331394,198.392129609765,6730374.10031692,6792734.14404479
58777.0798611111,537902.100253349,201.015996212374,6771170.15773585,6792502.04378894
58777.0804398148,155789.591500136,203.021226135578,6790502.12468679,6792288.97673039
58777.0810185185,-226815.224156308,204.389831653013,6788307.57452423,6792095.76743639
58777.0815972222,-608702.864850209,205.105779544527,6764591.529743,6791922.98130773
58777.0821759259,-988665.826248187,205.15508125094,6719426.47189623,6791770.92291101
58777.0827546296,-1365502.27098681,204.52587739242,6652952.16228869,6791639.63764294
58777.0833333333,-1738019.7093961,203.208516230171,6565375.27295183,6791528.91668955
58777.083912037,-2105038.6637233,201.195625647666,6456968.8273288,6791438.30520056
58777.0844907407,-2465396.30789651,198.482178226144,6328071.45003324,6791367.11355753
58777.0850694444,-2817950.07437834,195.065548991231,6179086.42509289,6791314.4315741
58777.0856481481,-3161581.21929023,190.945565413352,6010480.56219514,6791279.14543015
58777.0862268519,-3495198.33657436,186.124549253422,5822782.87061404,6791259.95710301
